Date,Close
3/4/2008 23:58:00,6.178
3/5/2008 23:58:00,6.1605
3/6/2008 23:58:00,6.214
3/7/2008 23:58:00,6.2179
3/10/2008 23:58:00,6.1739
3/11/2008 23:58:00,6.2144
3/12/2008 23:58:00,6.2308
3/13/2008 23:58:00,6.2726
3/14/2008 23:58:00,6.2728
3/17/2008 23:58:00,6.3917
3/18/2008 23:58:00,6.3763
3/19/2008 23:58:00,6.3271
3/20/2008 23:58:00,6.2165
3/21/2008 23:58:00,6.2168
3/24/2008 23:58:00,6.217
3/25/2008 23:58:00,6.1501
3/26/2008 23:58:00,6.1897
3/27/2008 23:58:00,6.2515
3/28/2008 23:58:00,6.3169
3/31/2008 23:58:00,6.3089
4/2/2008 23:58:00,6.2367
4/3/2008 23:58:00,6.2114
4/4/2008 23:58:00,6.2798
4/7/2008 23:58:00,6.27
4/8/2008 23:58:00,6.3034
4/9/2008 23:58:00,6.2822
4/10/2008 23:58:00,6.302
4/11/2008 23:58:00,6.2945
4/14/2008 23:58:00,6.2984
4/15/2008 23:58:00,6.2865
4/16/2008 23:58:00,6.3298
4/17/2008 23:58:00,6.3263
4/18/2008 23:58:00,6.2943
4/21/2008 23:58:00,6.3171
4/22/2008 23:58:00,6.3315
4/23/2008 23:58:00,6.3443
4/24/2008 23:58:00,6.2577
4/25/2008 23:58:00,6.2027
4/28/2008 23:58:00,6.2496
4/29/2008 23:58:00,6.2128
4/30/2008 23:58:00,6.208
5/2/2008 23:58:00,6.1747
5/5/2008 23:58:00,6.1848
5/6/2008 23:58:00,6.202
5/7/2008 23:58:00,6.1762
5/8/2008 23:58:00,6.2122
5/9/2008 23:58:00,6.2167
5/12/2008 23:58:00,6.2162
5/13/2008 23:58:00,6.2604
5/14/2008 23:58:00,6.2807
5/15/2008 23:58:00,6.2775
5/16/2008 23:58:00,6.2175
5/19/2008 23:58:00,6.2434
5/20/2008 23:58:00,6.2837
5/21/2008 23:58:00,6.3107
5/22/2008 23:58:00,6.2771
5/23/2008 23:58:00,6.2971
5/26/2008 23:58:00,6.3018
5/27/2008 23:58:00,6.3163
5/28/2008 23:58:00,6.277
5/29/2008 23:58:00,6.2159
5/30/2008 23:58:00,6.1882
6/2/2008 23:58:00,6.1582
6/3/2008 23:58:00,6.1966
6/4/2008 23:58:00,6.1594
6/5/2008 23:58:00,6.1354
6/6/2008 23:58:00,6.2057
6/9/2008 23:58:00,6.279
6/10/2008 23:58:00,6.173
6/11/2008 23:58:00,6.1732
6/12/2008 23:58:00,6.1611
6/13/2008 23:58:00,6.1236
6/16/2008 23:58:00,6.1724
6/17/2008 23:58:00,6.1637
6/18/2008 23:58:00,6.1663
6/19/2008 23:58:00,6.1727
6/20/2008 23:58:00,6.2266
6/23/2008 23:58:00,6.1917
6/24/2008 23:58:00,6.2117
6/25/2008 23:58:00,6.2125
6/26/2008 23:58:00,6.2633
6/27/2008 23:58:00,6.2816
6/30/2008 23:58:00,6.2904
7/2/2008 23:58:00,6.2927
7/3/2008 23:58:00,6.3432
7/4/2008 23:58:00,6.2567
7/7/2008 23:58:00,6.2502
7/8/2008 23:58:00,6.2645
7/9/2008 23:58:00,6.2675
7/10/2008 23:58:00,6.2721
7/11/2008 23:58:00,6.3041
7/14/2008 23:58:00,6.3268
7/15/2008 23:58:00,6.3906
7/16/2008 23:58:00,6.3532
7/17/2008 23:58:00,6.3159
7/18/2008 23:58:00,6.3142
7/21/2008 23:58:00,6.3312
7/22/2008 23:58:00,6.3437
7/23/2008 23:58:00,6.2763
7/24/2008 23:58:00,6.256
7/25/2008 23:58:00,6.2818
7/28/2008 23:58:00,6.2883
7/29/2008 23:58:00,6.2893
7/30/2008 23:58:00,6.2384
7/31/2008 23:58:00,6.2753
8/1/2008 23:58:00,6.2737
8/2/2008 23:58:00,6.2738
8/3/2008 23:58:00,6.2735
8/4/2008 23:58:00,6.2781
8/5/2008 23:58:00,6.2506
8/6/2008 23:58:00,6.2423
8/7/2008 23:58:00,6.2733
8/8/2008 23:58:00,6.1714
8/9/2008 23:58:00,6.1714
8/10/2008 23:58:00,6.1715
8/11/2008 23:58:00,6.1441
8/12/2008 23:58:00,6.0925
8/13/2008 23:58:00,6.0728
8/14/2008 23:58:00,6.1129
8/15/2008 23:58:00,6.0569
8/16/2008 23:58:00,6.0576
8/17/2008 23:58:00,6.0569
8/18/2008 23:58:00,6.0387
8/19/2008 23:58:00,6.0559
8/20/2008 23:58:00,6.0626
8/21/2008 23:58:00,6.0797
8/22/2008 23:58:00,6.1303
8/23/2008 23:58:00,6.1303
8/24/2008 23:58:00,6.1299
8/25/2008 23:58:00,6.0902
8/26/2008 23:58:00,6.0457
8/27/2008 23:58:00,6.1041
8/28/2008 23:58:00,6.1013
8/29/2008 23:58:00,6.0895
9/1/2008 23:58:00,6.0482
9/2/2008 23:58:00,6.0486
9/3/2008 23:58:00,6.0225
9/4/2008 23:58:00,6.0427
9/5/2008 23:58:00,5.948
9/8/2008 23:58:00,5.9268
9/9/2008 23:58:00,5.9192
9/10/2008 23:58:00,5.9037
9/11/2008 23:58:00,5.8726
9/12/2008 23:58:00,5.928
9/15/2008 23:58:00,5.9631
9/16/2008 23:58:00,5.9676
9/17/2008 23:58:00,5.9701
9/18/2008 23:58:00,6.1306
9/19/2008 23:58:00,6
9/22/2008 23:58:00,6.1222
9/23/2008 23:58:00,6.1929
9/24/2008 23:58:00,6.1454
9/25/2008 23:58:00,6.16
9/26/2008 23:58:00,6.1306
9/29/2008 23:58:00,6.0315
9/30/2008 23:58:00,6.055
10/1/2008 23:58:00,5.9419
10/2/2008 23:58:00,5.8473
10/3/2008 23:58:00,5.847
10/6/2008 23:58:00,5.7478
10/7/2008 23:58:00,5.7497
10/8/2008 23:58:00,5.8357
10/9/2008 23:58:00,5.8343
10/10/2008 23:58:00,5.7634
10/13/2008 23:58:00,5.7702
10/14/2008 23:58:00,5.8335
10/15/2008 23:58:00,5.8137
10/16/2008 23:58:00,5.754
10/17/2008 23:58:00,5.7165
10/20/2008 23:58:00,5.7431
10/21/2008 23:58:00,5.6593
10/22/2008 23:58:00,5.5542
10/23/2008 23:58:00,5.5986
10/24/2008 23:58:00,5.5101
10/27/2008 23:58:00,5.4549
10/28/2008 23:58:00,5.5015
10/29/2008 23:58:00,5.5782
10/30/2008 23:58:00,5.6138
10/31/2008 23:58:00,5.5017
11/3/2008 23:58:00,5.5323
11/4/2008 23:58:00,5.5011
11/5/2008 23:58:00,5.5807
11/6/2008 23:58:00,5.548
11/7/2008 23:58:00,5.4952
11/10/2008 23:58:00,5.5514
11/11/2008 23:58:00,5.4964
11/12/2008 23:58:00,5.4301
11/13/2008 23:58:00,5.4401
11/14/2008 23:58:00,5.5071
11/17/2008 23:58:00,5.4941
11/18/2008 23:58:00,5.496
11/19/2008 23:58:00,5.5021
11/20/2008 23:58:00,5.486
11/21/2008 23:58:00,5.5
11/24/2008 23:58:00,5.5497
11/25/2008 23:58:00,5.6239
11/26/2008 23:58:00,5.6499
11/27/2008 23:58:00,5.6208
11/28/2008 23:58:00,5.5806
12/1/2008 23:58:00,5.5381
12/2/2008 23:58:00,5.5507
12/3/2008 23:58:00,5.5516
12/4/2008 23:58:00,5.5603
12/5/2008 23:58:00,5.5901
12/8/2008 23:58:00,5.6548
12/9/2008 23:58:00,5.6446
12/10/2008 23:58:00,5.6758
