Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,label
2.87340105,,,,,,,,,0.0,,,,1
2.81338092,,,,,,,,,-0.004787930598290302,,,,0
2.8506645,,,,,,,,,-0.005510406245403665,,2.87340105,2.81338092,1
2.849301,,,,,,,,,-0.006122420997467959,,2.8506645,2.81338092,1
2.84439,,,,,,,,,-0.006923909239142656,,2.8506645,2.84439,1
2.8135205,,,,,,,,,-0.009935475135165461,,2.849301,2.8135205,0
2.8532868,,,,,,,,,-0.009009498841335173,,2.8532868,2.8135205,1
2.88578875,,,,,,,,,-0.005588598339429929,,2.88578875,2.8135205,2
2.87414163,,,,,,,,,-0.003773832893898099,,2.88578875,2.8532868,1
2.86590125,,,,,,,,,-0.002966353722682058,,2.88578875,2.86590125,1
2.8323789,,,,,,,,,-0.004974056323892473,,2.87414163,2.8323789,1
2.8274091,,,,,,,,,-0.006886809571861718,,2.86590125,2.8274091,1
2.850801,,,,,,,,,-0.00644090274822684,,2.850801,2.8274091,1
2.8226313,2.88578875,2.81338092,,,,,,,-0.00826530050465868,2.846928335714286,2.850801,2.8226313,1
2.8241217,2.88578875,2.81338092,,,,,,,-0.009481588199815594,2.8434083821428575,2.850801,2.8226313,0
2.83275576,2.88578875,2.8135205,,,,,,,-0.009637710944456312,2.8447922992857144,2.83275576,2.8226313,0
2.8389675,2.88578875,2.8135205,,,,,,,-0.009154674451573808,2.8439567992857144,2.8389675,2.8241217,1
2.8517055,2.88578875,2.8135205,,,,,,,-0.007655763530352022,2.8441285492857142,2.8517055,2.83275576,0
2.8440148,2.88578875,2.8135205,,,,,,,-0.007007661087453432,2.844101749285714,2.8517055,2.8389675,0
2.84221828,2.88578875,2.8226313,,,,,,,-0.006563341269370859,2.8461515907142854,2.8517055,2.84221828,0
2.84631925,2.88578875,2.8226313,,,,,,,-0.005813288633900626,2.8456539085714283,2.84631925,2.84221828,0
2.845107,2.87414163,2.8226313,,,,,,,-0.005256095957860918,2.8427480692857148,2.84631925,2.84221828,0
2.8558087,2.86590125,2.8226313,,,,,,,-0.0039059535939220957,2.8414385742857142,2.8558087,2.845107,0
2.8420436,2.8558087,2.8226313,,,,,,,-0.0039017081111336616,2.839734456428571,2.8558087,2.8420436,0
2.8350041,2.8558087,2.8226313,,,,,,,-0.004415473523636582,2.8399219707142858,2.8558087,2.8350041,0
2.84471704,2.8558087,2.8226313,,,,,,,-0.003992856071624917,2.8411582521428573,2.84471704,2.8350041,0
2.862756,2.862756,2.8226313,,,,,,,-0.00217723754287924,2.8420121807142857,2.862756,2.8350041,0
2.84722925,2.862756,2.8241217,,,,,,,-0.0019685337093280353,2.843769177142857,2.862756,2.84471704,0
2.864958,2.864958,2.83275576,,,,,,,-0.0003683266179774769,2.8466860557142857,2.864958,2.84722925,0
2.84847525,2.864958,2.8350041,,,,,,,-0.0004252689068855453,2.8478088764285716,2.864958,2.84722925,0
2.85297998,2.864958,2.8350041,,,,,,,-0.00010568376107977784,2.848809767857143,2.864958,2.84847525,0
2.8548927,2.864958,2.8350041,,,,,,,0.0002984894871849164,2.849037425,2.8548927,2.84847525,0
2.8765281,2.8765281,2.8350041,,,,,,,0.002337648704632489,2.851359803571429,2.8765281,2.85297998,0
2.85047108,2.8765281,2.8350041,,,,,,,0.0018300180208132844,2.8519492892857143,2.8765281,2.85047108,0
2.90576109,2.90576109,2.8350041,,,,,,,0.005822045855190527,2.856195135,2.90576109,2.85047108,0
2.9073264,2.9073264,2.8350041,,,,,,,0.009008222923660991,2.8606393778571433,2.9073264,2.85047108,0
2.89303,2.9073264,2.8350041,,,,,,,0.010261404126323814,2.863298042142857,2.9073264,2.89303,0
2.9418416,2.9418416,2.8350041,,,,,,,0.015020105021557484,2.870426470714286,2.9418416,2.89303,0
2.93604948,2.9418416,2.84471704,,,,,,,0.018115213187093193,2.877643997857143,2.9418416,2.89303,0
2.93841835,2.9418416,2.84722925,,,,,,,0.020522683992717283,2.8843369485714283,2.9418416,2.93604948,0
2.95272844,2.95272844,2.84722925,,,,,,,0.023316547968716517,2.8907635514285714,2.95272844,2.93604948,0
2.9378568,2.95272844,2.84847525,,,,,,,0.024053415437448322,2.897236947857143,2.95272844,2.9378568,0
2.94054525,2.95272844,2.84847525,,,,,,,0.024571083506255587,2.9026360371428575,2.95272844,2.9378568,0
2.9698848,2.9698848,2.85047108,,,,,,,0.027037128477472194,2.9113081478571425,2.9698848,2.9378568,1
2.98867272,2.98867272,2.85047108,,,,,,,0.03015985102212948,2.9210004864285715,2.98867272,2.94054525,1
3.00448123,3.00448123,2.85047108,,,,,,,0.033523804229229626,2.9316853814285713,3.00448123,2.9698848,1
3.02679525,3.02679525,2.85047108,,,,,,,0.037557378232180305,2.9424187492857143,3.02679525,2.98867272,2
3.00220567,3.02679525,2.89303,,,,,,,0.03832801953668952,2.9532569342857142,3.02679525,3.00220567,1
2.971449,3.02679525,2.89303,,,,,,,0.03604148825632825,2.9579489278571427,3.02679525,2.971449,1
3.00672284,3.02679525,2.89303,3.02679525,2.81338092,,,2.8828367842000002,,0.036653184737454936,2.9650486735714283,3.00672284,2.971449,1
3.0058593,3.02679525,2.93604948,3.02679525,2.81338092,,,2.8854859491999996,,0.03664584762452039,2.9731079092857144,3.00672284,2.971449,1
2.99433252,3.02679525,2.93604948,3.02679525,2.8135205,,,2.8891049812,,0.035302967463394896,2.9768572607142856,3.00672284,2.99433252,1
