Close,Max_10,Min_10,Max_21,Min_21,Max_50,Min_50,Max_100,Min_100,Max_200,Min_200,MA_10,MA_50,MA_200,Pivot_Points,RSI,BBands,buy,sell
40.498,40.722,40.209,40.722,40.123,40.806,39.852,40.806,39.188,,,40.4326,40.42624,,40.498,59.354413702239704,40.3689,0,0
40.481,40.722,40.319,40.722,40.123,40.806,40.063,40.806,39.188,,,40.4598,40.43882,,40.498,55.63331000699794,40.36655,0,0
40.551,40.722,40.319,40.722,40.123,40.806,40.063,40.806,39.278,,,40.4814,40.44512,,40.551,59.61405926946944,40.372550000000004,0,0
40.468,40.551,40.319,40.722,40.123,40.806,40.123,40.806,39.328,,,40.456,40.45322,,40.551,60.53184044786569,40.3832,0,0
40.222,40.551,40.222,40.722,40.123,40.806,40.123,40.806,39.328,,,40.4242,40.452420000000004,,40.551,53.03494788473341,40.374050000000004,0,0
40.194,40.551,40.194,40.722,40.123,40.806,40.123,40.806,39.328,,,40.4117,40.44842,,40.468,49.52320406865859,40.3669,0,0
40.283,40.551,40.194,40.722,40.123,40.806,40.123,40.806,39.328,,,40.406600000000005,40.44254,,40.283,48.30729166666667,40.37035,0,0
40.146,40.551,40.146,40.722,40.123,40.806,40.123,40.806,39.328,,,40.3768,40.43722,,40.283,27.60497667185058,40.36165,0,0
40.059,40.551,40.059,40.722,40.059,40.806,40.059,40.806,39.328,,,40.339999999999996,40.427960000000006,,40.283,29.806884970612785,40.351,0,0
40.11,40.551,40.059,40.722,40.059,40.806,40.059,40.806,39.328,,,40.3012,40.41476,,40.146,39.764936336924436,40.34815,0,0
40.022,40.551,40.022,40.722,40.022,40.806,40.022,40.806,39.328,,,40.2536,40.40192,,40.11,35.74040219378408,40.3431,0,0
40.126,40.551,40.022,40.722,40.022,40.806,40.022,40.806,39.328,,,40.2181,40.38918,,40.126,35.3860294117645,40.33895,0,0
40.181,40.468,40.022,40.722,40.022,40.806,40.022,40.806,39.328,,,40.1811,40.38455999999999,,40.181,39.07637655417395,40.33125,0,0
40.371,40.371,40.022,40.722,40.022,40.806,40.022,40.806,39.328,,,40.1714,40.3881,,40.371,44.8995983935745,40.3137,0,0
40.269,40.371,40.022,40.551,40.022,40.806,40.022,40.806,39.328,,,40.176100000000005,40.3905,,40.371,41.49962880475139,40.30015,0,0
40.245,40.371,40.022,40.551,40.022,40.806,40.022,40.806,39.328,,,40.181200000000004,40.392199999999995,,40.371,41.28508124076802,40.29645,0,0
40.362,40.371,40.022,40.551,40.022,40.806,40.022,40.806,39.328,,,40.189099999999996,40.39244,,40.362,43.254817987152116,40.29785,0,0
40.604,40.604,40.022,40.604,40.022,40.806,40.022,40.806,39.328,,,40.2349,40.39488,,40.604,54.35897435897417,40.30585000000001,0,1
40.659,40.659,40.022,40.659,40.022,40.806,40.022,40.806,39.328,,,40.2949,40.40036,,40.659,65.9605551497441,40.31745,0,1
40.79,40.79,40.022,40.79,40.022,40.806,40.022,40.806,39.328,,,40.362899999999996,40.4033,,40.79,70.24456521739097,40.332049999999995,0,1
40.714,40.79,40.126,40.79,40.022,40.806,40.022,40.806,39.328,,,40.4321,40.40788,,40.79,64.77039067854669,40.342850000000006,0,1
