Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,buy,sell,Return_Since_Last_Buy,Days_Since_Last_Buy
26.678,26.875,26.466,26.875,24.399,,,25.81892,,0.26134654714937966,26.720285714285716,26.687,26.654,0,0,0.021402044488686437,22
26.545,26.875,26.545,26.875,24.399,,,25.846,,0.23321679392520878,26.72592857142857,26.687,26.545,0,0,0.016309965925188633,23
26.602,26.875,26.545,26.875,24.399,,,25.87692,,0.21306708078461511,26.720428571428574,26.678,26.545,0,0,0.018492285309544797,24
26.353,26.875,26.353,26.875,24.399,,,25.901680000000002,,0.17498890575099324,26.693357142857142,26.602,26.353,0,0,0.008958995367357165,25
26.495,26.875,26.353,26.875,24.399,,,25.92744,,0.15448903749672027,26.674357142857144,26.602,26.353,0,0,0.01439565067575333,28
26.652,26.867,26.353,26.875,24.399,,,25.95604,,0.1491915448473975,26.658428571428573,26.652,26.353,0,0,0.020406600558980102,29
26.641,26.867,26.353,26.875,24.399,,,25.988319999999998,,0.14246340622074882,26.651928571428574,26.652,26.495,0,0,0.019985451204104235,30
26.679,26.818,26.353,26.875,24.399,,,26.021900000000002,,0.13859989696943487,26.638499999999997,26.679,26.641,0,0,0.021440330793675053,31
26.696,26.818,26.353,26.875,24.399,,,26.05594,,0.1353495703825729,26.637285714285717,26.696,26.641,0,0,0.022091197978483162,32
26.863,26.863,26.353,26.875,24.642,,,26.10522,,0.14458251028878877,26.652500000000003,26.863,26.679,0,1,0.028485010911596914,35
26.845,26.863,26.353,26.875,24.667,,,26.149279999999997,,0.14873273374478657,26.65442857142857,26.863,26.696,0,1,0.02779585742180019,36
26.76,26.863,26.353,26.875,24.73,,,26.19114,,0.14350874660923196,26.65357142857143,26.863,26.76,0,0,0.02454152149776032,37
26.796,26.863,26.353,26.875,24.919,,,26.23246,,0.14065224675534438,26.66371428571429,26.845,26.76,0,1,0.025919828477353635,38
26.542,26.863,26.353,26.875,25.026,,,26.264920000000004,,0.1165492654253164,26.653357142857143,26.796,26.542,1,0,0.016195107010222514,39
26.433,26.863,26.353,26.875,25.026,,,26.29232,,0.08764180979152769,26.63585714285714,26.796,26.433,1,0,-0.004106698816969398,3
26.46,26.863,26.353,26.875,25.026,,,26.320860000000003,,0.06614859743124768,26.629785714285713,26.542,26.433,1,0,0.0010214504596527455,1
26.59,26.863,26.353,26.875,25.093,,,26.35214,,0.05892572623807979,26.62892857142857,26.59,26.433,1,0,0.004913076341647732,1
26.673,26.863,26.433,26.875,25.464,,,26.38374,,0.059216345944424376,26.651785714285715,26.673,26.46,1,0,0.0031214742384354423,1
26.742,26.863,26.433,26.875,25.624,,,26.409299999999998,,0.06427348279760636,26.669428571428572,26.742,26.59,0,0,0.002586885614666615,1
26.65,26.863,26.433,26.875,25.651,,,26.42982,,0.06016413437434309,26.669285714285714,26.742,26.65,1,0,-0.0008622952048888273,4
26.73,26.863,26.433,26.875,25.736,,,26.4514,,0.0626406946196596,26.675642857142858,26.742,26.65,0,0,0.0030018761726079493,1
26.513,26.863,26.433,26.875,25.753,,,26.46694,,0.04655662421789941,26.663785714285716,26.73,26.513,1,0,-0.005140712945590879,2
26.692,26.863,26.433,26.875,25.753,,,26.4852,,0.0477037870174577,26.6635,26.73,26.513,1,0,0.006751404971146173,1
26.831,26.845,26.433,26.875,25.753,,,26.504860000000004,,0.05914724747844957,26.661214285714287,26.831,26.513,0,0,0.0052075528248164,1
26.889,26.889,26.433,26.889,25.777,,,26.527579999999997,,0.07206565954927413,26.664357142857146,26.889,26.692,0,0,0.007380488535890873,4
27.0,27.0,26.433,27.0,25.82,,,26.552039999999998,,0.09022036234494024,26.681500000000003,27.0,26.831,0,0,0.011539037913981712,5
27.197,27.197,26.433,27.197,25.82,,,26.579520000000002,,0.11913107977920845,26.710142857142852,27.197,26.889,0,0,0.018919526449872583,6
27.266,27.266,26.433,27.266,25.851,,,26.60844,,0.1459285811333615,26.761857142857142,27.266,27.0,0,0,0.021504570657874946,7
27.297,27.297,26.46,27.297,26.073,,,26.637359999999997,,0.16773370520133568,26.82357142857143,27.297,27.197,0,0,0.02266596733103553,8
27.174,27.297,26.513,27.297,26.073,27.297,24.399,26.65886,,0.17309403083634223,26.874571428571425,27.297,27.174,0,0,0.018057845047205128,11
27.199,27.297,26.513,27.297,26.073,27.297,24.399,26.68134,,0.1773154366092271,26.91807142857143,27.297,27.174,0,0,0.018994455267495932,12
27.259,27.297,26.513,27.297,26.073,27.297,24.399,26.704259999999998,,0.1833884418545395,26.959928571428573,27.259,27.174,0,0,0.021242319796193624,13
27.058,27.297,26.513,27.297,26.073,27.297,24.399,26.72322,,0.1700224095897056,26.982499999999998,27.259,27.058,1,0,0.013711973625056184,14
27.092,27.297,26.513,27.297,26.119,27.297,24.399,26.743599999999997,,0.16032512038404434,27.01407142857143,27.259,27.058,1,0,0.0012565599822602898,1
27.3,27.3,26.513,27.3,26.353,27.3,24.399,26.767220000000002,,0.1674930548196727,27.054785714285714,27.3,27.058,1,0,0.007677543186180495,3
27.361,27.361,26.692,27.361,26.353,27.361,24.399,26.78702,,0.17606630197215267,27.115357142857142,27.361,27.092,1,0,0.0022344322344322325,1
27.365,27.365,26.831,27.365,26.353,27.365,24.399,26.80648,,0.18109586823722879,27.16342857142857,27.365,27.3,1,0,0.00014619348708006956,1
27.252,27.365,26.889,27.365,26.353,27.365,24.399,26.8222,,0.1739583960148572,27.1935,27.365,27.252,1,0,-0.004129362324136654,1
