Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,label,Return_Since_Last_Buy,Days_Since_Last_Buy
23.876,23.988,23.336,23.988,21.527,,,22.883339999999997,,0.30951869319639513,23.81757142857143,23.876,23.822,1,0.023140212547137586,19
23.735,23.988,23.63,23.988,21.527,,,22.90842,,0.28306246499857934,23.846071428571427,23.876,23.735,1,0.01709804593760717,20
23.785,23.988,23.735,23.988,21.527,,,22.936099999999996,,0.2630974717951773,23.857142857142858,23.876,23.735,1,0.0192406582104903,21
23.782,23.988,23.735,23.988,21.527,,,22.96242,,0.2442178050768966,23.859,23.785,23.735,1,0.01911210147411731,22
23.696,23.988,23.696,23.988,21.527,,,22.98496,,0.2197825356528682,23.85092857142857,23.785,23.696,1,0.015426808364758442,25
23.689,23.988,23.689,23.988,21.527,,,23.010080000000002,,0.19757504495708744,23.83164285714286,23.782,23.689,1,0.015126842646554747,26
23.668,23.988,23.668,23.988,21.527,,,23.038559999999997,,0.17624923264606807,23.822499999999998,23.696,23.668,0,0.01422694549194381,27
23.585,23.96,23.585,23.988,21.527,,,23.06494,,0.15091135425257818,23.793714285714287,23.689,23.585,0,-0.003506844684806423,1
23.564,23.96,23.564,23.988,21.527,,,23.0975,,0.127664738938563,23.77292857142857,23.668,23.564,0,-0.00089039643841428,1
23.788,23.96,23.564,23.988,21.69,,,23.14272,,0.12586565584138754,23.768714285714285,23.788,23.564,0,0.009506026141571897,3
23.783,23.953,23.564,23.988,21.69,,,23.18332,,0.1226228909550926,23.75607142857143,23.788,23.564,0,-0.00021019001177059884,1
23.792,23.876,23.564,23.988,21.827,,,23.225360000000002,,0.11940280005039128,23.744571428571426,23.792,23.783,0,0.0003784215616196586,1
23.801,23.876,23.564,23.988,22.038,,,23.26484,,0.11623716985382515,23.740428571428573,23.801,23.783,0,0.00037827841291176816,1
23.503,23.876,23.503,23.988,22.047,,,23.29414,,0.08866025537099986,23.71764285714286,23.801,23.503,0,-0.012520482332675026,1
23.514,23.801,23.503,23.988,22.047,,,23.3202,,0.0669215302876367,23.691785714285714,23.801,23.503,0,0.0004680253584648442,3
23.504,23.801,23.503,23.988,22.047,,,23.34678,,0.048329406301665045,23.675285714285714,23.514,23.503,0,-0.0004252785574550485,1
23.573,23.801,23.503,23.988,22.105,,,23.3773,,0.03871643843457662,23.66014285714286,23.573,23.504,0,0.002935670524166059,1
23.607,23.801,23.503,23.988,22.307,,,23.407339999999998,,0.033455948642018285,23.64764285714286,23.607,23.504,0,0.001442328087218382,1
23.637,23.801,23.503,23.988,22.461,,,23.433939999999996,,0.031346380301503274,23.64342857142857,23.637,23.573,0,0.0012708095056551505,1
23.649,23.801,23.503,23.988,22.546,,,23.457700000000003,,0.03029362584324602,23.640571428571427,23.649,23.607,0,0.0005076786394212656,3
23.736,23.801,23.503,23.988,22.611,,,23.4815,,0.03606376265408784,23.64542857142857,23.736,23.637,0,0.003678802486363049,1
23.523,23.801,23.503,23.988,22.735,,,23.499740000000003,,0.023182089071084988,23.641,23.736,23.523,0,-0.008973710819009141,1
23.783,23.801,23.503,23.988,22.798,,,23.5207,,0.033566167157665916,23.65664285714286,23.783,23.523,0,0.011053011945755285,1
23.993,23.993,23.503,23.993,22.798,,,23.543519999999997,,0.058071457200910004,23.671285714285716,23.993,23.523,0,0.008829836437791587,1
24.082,24.082,23.503,24.082,22.798,,,23.569100000000002,,0.08370869062851227,23.692642857142857,24.082,23.783,0,0.003709415246113541,3
24.182,24.182,23.503,24.182,22.798,,,23.595240000000004,,0.11081810495921474,23.720500000000005,24.182,23.993,0,0.00415247902998081,1
24.389,24.389,23.503,24.389,22.798,,,23.625079999999997,,0.14730761071735188,23.762499999999996,24.389,24.082,0,0.0085600860143909,1
24.353,24.389,23.504,24.389,22.798,,,23.65462,,0.17134574074760422,23.823214285714283,24.389,24.182,0,-0.001476075279839182,1
24.586,24.586,23.504,24.586,23.01,,,23.69038,,0.2068132700790244,23.899785714285713,24.586,24.353,1,0.009567609740072968,1
24.195,24.586,23.523,24.586,23.01,24.586,21.527,23.712339999999998,,0.2010534908363617,23.949142857142856,24.586,24.195,0,-0.0064879070340410315,4
24.223,24.586,23.523,24.586,23.01,24.586,21.527,23.73512,,0.19648325364240904,23.995571428571427,24.586,24.195,0,0.0011572638974994293,1
24.149,24.586,23.523,24.586,23.01,24.586,21.527,23.757800000000003,,0.18476032417543564,24.034285714285716,24.223,24.149,0,-0.0030549477769061663,1
24.247,24.586,23.523,24.586,23.01,24.586,21.527,23.782539999999997,,0.1812878258844961,24.077857142857145,24.247,24.149,0,0.004058139053376909,1
24.31,24.586,23.523,24.586,23.029,24.586,21.527,23.808540000000004,,0.1815268904612921,24.12507142857143,24.31,24.149,0,0.0025982595785045094,1
24.409,24.586,23.523,24.586,23.264,24.586,21.527,23.83614,,0.18754294515295555,24.17314285714286,24.409,24.247,0,0.004072398190045257,3
24.527,24.586,23.783,24.586,23.282,24.586,21.527,23.8614,,0.19953224218883747,24.244857142857143,24.527,24.31,0,0.004834282436806183,1
24.58,24.586,23.993,24.586,23.336,24.586,21.527,23.887359999999997,,0.2108796145994134,24.30178571428571,24.58,24.409,0,0.002160883923838923,1
24.564,24.586,24.082,24.586,23.503,24.586,21.527,23.91192,,0.2160904663216634,24.34257142857143,24.58,24.527,0,-0.0006509357200975688,1
