Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,label
5.20805928,,,,,,,,,0.0,,,,1
5.14528884,,,,,,,,,-0.00500732854700825,,,,0
5.23853397,,,,,,,,,-0.0014350276815928709,,5.23853397,5.14528884,1
5.228298,,,,,,,,,0.0005635925141769249,,5.23853397,5.14528884,1
5.2815662,,,,,,,,,0.006372355430929844,,5.2815662,5.228298,2
5.2114909,,,,,,,,,0.005260708651395163,,5.2815662,5.2114909,1
5.2367939,,,,,,,,,0.0063482821585809646,,5.2815662,5.2114909,1
5.25725625,,,,,,,,,0.008760348784910832,,5.25725625,5.2114909,1
5.20663905,,,,,,,,,0.00651247222394602,,5.25725625,5.20663905,1
5.22918725,,,,,,,,,0.006475815975623966,,5.25725625,5.20663905,1
5.28074455,,,,,,,,,0.010486131268526044,,5.28074455,5.20663905,2
5.2620691,,,,,,,,,0.01201883662600256,,5.28074455,5.22918725,1
5.280129,,,,,,,,,0.014523383141107793,,5.28074455,5.2620691,2
5.3041427,5.3041427,5.14528884,,,,,,,0.018235748836518795,5.240728499285715,5.3041427,5.2620691,2
5.3280351,5.3280351,5.14528884,,,,,,,0.022842429095470074,5.249298200714286,5.3280351,5.280129,2
5.27191296,5.3280351,5.20663905,,,,,,,0.021714359109229697,5.258342780714286,5.3280351,5.27191296,1
5.27868,5.3280351,5.20663905,,,,,,,0.021122907363779753,5.261210354285715,5.3280351,5.27191296,2
5.251617,5.3280351,5.20663905,,,,,,,0.018259930556219217,5.262875997142857,5.27868,5.251617,1
5.2546312,5.3280351,5.20663905,,,,,,,0.016049216184982562,5.260952068571429,5.27868,5.251617,1
5.25911262,5.3280351,5.20663905,,,,,,,0.014491770154128503,5.2643536200000005,5.25911262,5.251617,1
5.23682225,5.3280351,5.20663905,,,,,,,0.011328251353269536,5.264355645,5.25911262,5.23682225,1
5.2251547,5.3280351,5.20663905,,,,,,,0.007789869371362279,5.262062677142857,5.25911262,5.2251547,1
5.2464384,5.3280351,5.2251547,,,,,,,0.0066267043499665945,5.264905487857143,5.2464384,5.2251547,1
5.2311304,5.3280351,5.2251547,,,,,,,0.004418723728075946,5.265044284285714,5.2464384,5.2251547,1
5.2137482,5.3280351,5.2137482,,,,,,,0.0012518543094657275,5.260258830714286,5.2464384,5.2137482,1
5.19108711,5.3280351,5.19108711,,,,,,,-0.003051299614624803,5.255188688571429,5.2311304,5.19108711,1
5.19406704,5.3280351,5.19108711,,,,,,,-0.006150228647862299,5.249041405714286,5.2137482,5.19108711,1
5.15862464,5.3280351,5.15862464,,,,,,,-0.011335390384468624,5.2386472585714285,5.19406704,5.15862464,1
5.16739,5.27868,5.15862464,,,,,,,-0.014569429803354517,5.227172608571428,5.19406704,5.15862464,1
5.20434225,5.27868,5.15862464,,,,,,,-0.013989430148027893,5.222346129285715,5.20434225,5.15862464,1
5.17859786,5.25911262,5.15862464,,,,,,,-0.015429274291027362,5.215197405,5.20434225,5.16739,1
5.1792879,5.25911262,5.15862464,,,,,,,-0.016326479197468657,5.210031040714286,5.20434225,5.17859786,1
