Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,label,Return_Since_Last_Buy,Days_Since_Last_Buy
19.223,19.924,19.223,19.928,18.9,,,19.367259999999998,,0.0223138246485739,19.61192857142857,19.429,19.223,0,0.017089947089947113,36
19.527,19.924,19.223,19.928,18.9,,,19.37328,,0.020451756091297568,19.594785714285713,19.527,19.223,1,0.015814389013161425,3
19.592,19.849,19.223,19.928,18.9,,,19.3808,,0.023944987209201685,19.57107142857143,19.592,19.223,1,0.01919575508505435,4
19.581,19.849,19.223,19.928,18.9,,,19.38786,,0.025531478971554833,19.569142857142857,19.592,19.527,1,0.018623523903657107,5
19.354,19.849,19.223,19.928,18.9,,,19.3907,,0.008375237714464134,19.547714285714285,19.592,19.354,0,0.006814753160276764,6
19.6,19.849,19.223,19.928,18.9,,,19.39844,,0.014462225473561574,19.54657142857143,19.6,19.354,1,0.012710550790534372,1
19.6,19.849,19.223,19.928,18.9,,,19.406200000000002,,0.019066421290816038,19.546,19.6,19.354,1,0.012710550790534372,4
19.739,19.79,19.223,19.928,18.9,,,19.41556,,0.03354473515002354,19.538142857142855,19.739,19.6,1,0.019892528676242718,5
19.635,19.79,19.223,19.928,18.9,,,19.42298,,0.0362095709639334,19.546357142857143,19.739,19.6,1,0.014518962488374618,6
19.489,19.79,19.223,19.928,18.9,,,19.430339999999998,,0.026238036961000688,19.542785714285714,19.739,19.489,1,0.006975302263098148,7
19.623,19.79,19.223,19.928,18.9,,,19.437260000000002,,0.028816031266835296,19.54307142857143,19.635,19.489,1,0.013898935620543656,8
19.697,19.739,19.223,19.928,18.9,,,19.44652,,0.03641057345782528,19.53642857142857,19.697,19.489,1,0.01772243463883435,11
19.558,19.739,19.223,19.928,18.9,,,19.45328,,0.03085745895267067,19.546214285714285,19.697,19.558,1,0.010540456753126001,12
19.806,19.806,19.223,19.928,18.9,,,19.46554,,0.045938552044614056,19.57314285714286,19.806,19.558,1,0.023354345354965472,13
19.67,19.806,19.354,19.928,18.9,,,19.47522,,0.046381704158875436,19.605071428571428,19.806,19.558,1,0.016327374186214865,14
19.782,19.806,19.354,19.928,18.9,,,19.48602,,0.05513480961410622,19.623285714285714,19.806,19.67,1,0.022114291619303547,15
19.569,19.806,19.354,19.928,18.9,,,19.4928,,0.0443728858583583,19.62164285714286,19.782,19.569,1,0.011108814715304323,18
19.736,19.806,19.354,19.928,18.9,,,19.50386,,0.048757442621138125,19.632714285714286,19.782,19.569,1,0.01973752195928498,19
19.486,19.806,19.486,19.928,18.9,,,19.510460000000002,,0.03169397635128135,19.642142857142858,19.736,19.486,1,0.006820295546140408,20
19.658,19.806,19.486,19.928,18.9,,,19.520619999999997,,0.03168477655180624,19.646285714285714,19.736,19.486,1,0.015707347318383903,21
19.924,19.924,19.486,19.928,18.9,,,19.536299999999997,,0.05253586187641446,19.669428571428572,19.924,19.486,2,0.029451276221969636,22
19.712,19.924,19.486,19.928,18.9,,,19.55106,,0.05136180209510499,19.6675,19.924,19.658,1,0.018497468223623054,25
19.539,19.924,19.486,19.928,18.9,,,19.56192,,0.03605606520553195,19.660642857142857,19.924,19.539,1,0.0095587475457271,26
19.505,19.924,19.486,19.928,18.9,,,19.570400000000003,,0.020941244962070726,19.661785714285717,19.712,19.505,1,0.00780200475353931,27
19.708,19.924,19.486,19.928,18.9,,,19.582,,0.025054234857229574,19.667857142857144,19.708,19.505,1,0.01829079260101267,28
19.708,19.924,19.486,19.928,18.9,,,19.59298,,0.02799114449181417,19.668642857142856,19.708,19.505,1,0.01829079260101267,29
19.708,19.924,19.486,19.928,18.9,,,19.60334,,0.02997315466715378,19.679357142857146,19.708,19.708,1,0.01829079260101267,32
19.685,19.924,19.486,19.928,18.9,,,19.6173,,0.029349679395217265,19.670714285714286,19.708,19.685,1,0.017102407771003386,33
19.547,19.924,19.486,19.928,18.9,,,19.62824,,0.017518185328651015,19.66192857142857,19.708,19.547,1,0.00997209879094768,34
19.543,19.924,19.486,19.928,19.223,19.928,18.9,19.641099999999998,,0.007729770486427867,19.64485714285714,19.685,19.543,1,0.009765423168337298,35
19.693,19.924,19.486,19.928,19.223,19.928,18.9,19.6457,,0.011938507912191199,19.653714285714283,19.693,19.543,1,0.01751575901622415,36
19.631,19.924,19.486,19.928,19.223,19.928,18.9,19.64268,,0.01015403144619853,19.646214285714287,19.693,19.543,1,0.014312286865764237,39
19.666,19.924,19.505,19.924,19.223,19.928,18.9,19.637439999999998,,0.011432244682854531,19.659071428571426,19.693,19.631,1,0.016120698563604485,40
19.508,19.924,19.505,19.924,19.223,19.928,18.9,19.635360000000002,,-0.0003005767947819038,19.648357142857144,19.666,19.508,1,0.007957011470497051,41
19.414,19.712,19.414,19.924,19.223,19.928,18.9,19.628,,-0.016988108416352787,19.61192857142857,19.666,19.414,1,0.0031001343391548145,42
19.596,19.708,19.414,19.924,19.223,19.928,18.9,19.62176,,-0.015350270132209687,19.60364285714286,19.596,19.414,1,0.01250387516792399,43
19.455,19.708,19.414,19.924,19.223,19.928,18.9,19.616220000000002,,-0.02513999489383778,19.59764285714286,19.596,19.414,1,0.0052185594709103595,46
19.387,19.708,19.387,19.924,19.223,19.928,18.9,19.60862,,-0.037948012927664365,19.589214285714288,19.596,19.387,1,0.001705073886535148,47
19.539,19.708,19.387,19.924,19.223,19.928,18.9,19.60092,,-0.035424972778351105,19.577142857142857,19.539,19.387,1,0.0095587475457271,48
