timestamp,currency_pair,model_path,gross_expected_return,accuracy,precision,recall,f1,roc_auc,num_features,model_type,dataset_range_start,dataset_range_end
20250225_142059,USD_TWD,saved_models/buy_model_20_USD_TWD_20250225_142059.pkl,0.0130859375,0.9726141078838174,0.9752380952380952,0.9061946902654868,0.9394495412844036,0.9495743099023912,7,LightGBM,2015-12-02,2025-02-25
20250225_142142,EUR_TWD,saved_models/buy_model_20_EUR_TWD_20250225_142142.pkl,0.036328125,0.9526970954356846,0.9514925373134328,0.8528428093645485,0.8994708994708994,0.919247011746292,7,LightGBM,2015-12-02,2025-02-25
20250225_143142,GBP_TWD,saved_models/buy_model_20_GBP_TWD_20250225_143142.pkl,0.02265625,0.949792531120332,0.977319587628866,0.8116438356164384,0.8868101028999065,0.902809869615448,7,LightGBM,2015-12-02,2025-02-25
20250225_144734,CHF_TWD,saved_models/buy_model_20_CHF_TWD_20250225_144734.pkl,0.039453125,0.9215767634854772,0.9380733944954128,0.7162872154115587,0.8123138033763655,0.8508026615393846,7,LightGBM,2015-12-02,2025-02-25
20250225_144843,JPY_TWD,saved_models/buy_model_20_JPY_TWD_20250225_144843.pkl,0.03359375,0.953941908713693,0.9649805447470816,0.8421052631578947,0.899365367180417,0.9161102922049768,7,LightGBM,2015-12-02,2025-02-25
20250225_145558,AUD_TWD,saved_models/buy_model_20_AUD_TWD_20250225_145558.pkl,0.0375,0.9182572614107885,0.9189765458422174,0.7305084745762712,0.8139754485363551,0.854814676848575,7,LightGBM,2015-12-02,2025-02-25
20250225_160107,NZD_TWD,saved_models/buy_model_20_NZD_TWD_20250225_160107.pkl,0.02265625,0.934322033898305,0.96398891966759,0.7581699346405228,0.848780487804878,0.8745363319108843,7,LightGBM,2017-12-01,2025-02-25
